ENOTA,VDV_MID,VDV_ID,VDV_UIME,VDV_DJ,POV_KM2,D_OD,DV_OD,N8,C1,STATUS,CEN_E,CEN_N
VE,10858054,1000,Volilna enota Kranj,,2851.55,2021/03/19,2021/03/19,,,V,427780,144528
VE,10858062,2000,Volilna enota Postojna,,3916.77,2021/03/19,2021/03/19,,,V,402358,116998
VE,10858097,3000,Volilna enota Ljubljana Center,,1530.03,2021/03/19,2021/03/19,,,V,461699,101516
VE,10858127,4000,Volilna enota Ljubljana Bežigrad,,1882.16,2021/03/19,2021/03/19,,,V,469229,111866
VE,10858135,5000,Volilna enota Celje,,2551.39,2021/03/19,2021/03/19,,,V,497257,156007
VE,10858143,6000,Volilna enota Novo mesto,,3409.86,2021/03/19,2021/03/19,,,V,503790,112215
VE,10858151,7000,Volilna enota Maribor,,1540.49,2021/03/19,2021/03/19,,,V,549372,158294
VE,10858160,8000,Volilna enota Ptuj,,2589.04,2021/03/19,2021/03/19,,,V,575942,171103
